universalid,title,authorinfo,genre,notes
lt0022w001,De Agri Cultura,<author>M. Porcius Cato</author>. <work>De Agri Cultura</work> .,Agric.,
lt0022w002,"De Agri Cultura, fragmenta",<author>M. Porcius Cato</author>. de agri cultura fragmenta .,Agric.,
lt0600w001,De Silvestribus Arboribus,<author>C. Oppius</author>. de re rustica scripta .,Agric.,
lt0668w001,de re rustica,<author>Cn. Tremelius Scrofa</author>. de re rustica scripta .,Agric.,
lt0672w001,de re rustica scripta,<author>Turranius Niger</author>. de re rustica scripta .,Agric.,
lt0684w002,Res Rusticae,<author>M. Terentius Varro</author>. <work>Res Rusticae</work> .,Agric.,
lt0836w001,De Agricultura,<author>A. Cornelius Celsus</author>. <work>De Agricultura</work> .,Agric.,
lt0845w001,De Arboribus,<author>L. Iunius Moderatus Columella</author>. <work>De Arboribus</work> .,Agric.,
lt0845w002,De Re Rustica,<author>L. Iunius Moderatus Columella</author>. <work>De Re Rustica</work> .,Agric.,
lt1227w001,Expos. et Ratio Omn. Formarum,<author>Balbus</author>. <work>Expositio et Ratio Omnium Formarum</work> .,Agric.,
lt1245w003,De Agrorum Qualitate,<author>Sex. Iulius Frontinus</author>. <work>De Agrorum Qualitate</work> .,Agric.,
lt1245w005,De Limitibus,<author>Sex. Iulius Frontinus</author>. <work>De Limitibus</work> .,Agric.,
lt1266w001,De Limitibus,<author>Hyginus Gromaticus</author>. <work>De Limitibus</work> .,Agric.,
lt1266w002,De Condicionibus Agrorum,<author>Hyginus Gromaticus</author>. <work>De Condicionibus Agrorum</work> .,Agric.,
lt1266w003,De Generibus Controversiarum,<author>Hyginus Gromaticus</author>. <work>De Generibus Controversiarum</work> .,Agric.,
lt1266w004,Constitutio Limitum [sp.],<author>Hyginus Gromaticus</author>. <work>Constitutio Limitum</work> [sp.] .,Agric.,
lt1342w001,De Condicionibus Agrorum,<author>Siculus Flaccus</author>. <work>De Condicionibus Agrorum</work> .,Agric.,
lt0324w001,De Agri Cultura,<author>Saserna</author>. de re rustica scripta .,Agric.,
lt1245w006,De Arte Mensoria,<author>Sex. Iulius Frontinus</author>. <work>De Arte Mensoria</work> .,Agric.,
lt0474w060,Arati Phaenomena,<author>M. Tullius Cicero</author>. <work>Arati Phaenomena</work> .,Astron.,
lt0474w071,Arati Prognostica,<author>M. Tullius Cicero</author>. <work>Arati Prognostica</work> .,Astron.,
lt0881w001,Aratea,<author>Claudius Caesar Germanicus</author>. <work>Aratea</work> .,Astron.,
lt0899w001,Astronomica,<author>Hyginus Astronomus</author>. <work>Astronomica</work> .,Astron.,
